lead_id,data_criacao,segmento,categoria_produto,canal_origem,vendedor,cidade,estagio_funil,valor_proposta,data_fechamento_ou_perda,motivo_perda
17,2025-12-10,Consumidor Final (B2C),Móveis,Marketplace,Ana Ribeiro,Campo Grande,Perdido,305.48,2025-12-27,Preço
18,2025-05-11,Consumidor Final (B2C),Brinquedos,Marketplace,Ana Ribeiro,Campo Grande,Venda Fechada,356.36,2025-06-07,
19,2024-04-22,Conta Corporativa (B2B),Ferramentas,Loja Física,Ana Ribeiro,Dourados,Qualificado,3002.73,,
20,2025-12-10,Consumidor Final (B2C),Beleza e Higiene,Loja Física,Fernanda Lima,Campo Grande,Venda Fechada,453.23,2025-12-15,
21,2025-09-01,Consumidor Final (B2C),Eletrônicos,Loja Física,Fernanda Lima,Campo Grande,Perdido,473.59,2025-09-04,Sem retorno
22,2025-05-25,Consumidor Final (B2C),Brinquedos,Loja Física,Ana Ribeiro,Campo Grande,Qualificado,398.62,,
23,2025-10-02,Consumidor Final (B2C),Móveis,Loja Física,Rafael Torres,Ponta Porã,Perdido,166.05,2025-10-18,Preço
24,2024-09-10,Conta Corporativa (B2B),Papelaria e Escritório,Google Ads,Ana Ribeiro,Campo Grande,Proposta Enviada,8761.75,,
25,2024-07-26,Conta Corporativa (B2B),Alimentos e Bebidas,E-commerce,Ana Ribeiro,Dourados,Perdido,9144.76,2024-08-13,Fora do orçamento (B2B)
26,2024-12-03,Consumidor Final (B2C),Moda e Vestuário,Indicação,Ana Ribeiro,Campo Grande,Perdido,255.71,2024-12-19,Prazo de entrega incompatível
27,2025-05-18,Consumidor Final (B2C),Brinquedos,Instagram/Redes Sociais,Ana Ribeiro,Dourados,Qualificado,201.33,,
28,2025-10-31,Conta Corporativa (B2B),Moda e Vestuário,Google Ads,Fernanda Lima,Campo Grande,Perdido,10084.85,2025-11-15,Preço
29,2025-04-25,Consumidor Final (B2C),Moda e Vestuário,Marketplace,Ana Ribeiro,Campo Grande,Venda Fechada,159.51,2025-05-01,
30,2024-04-08,Consumidor Final (B2C),Papelaria e Escritório,Google Ads,Ana Ribeiro,Dourados,Proposta Enviada,298.12,,
31,2025-11-30,Conta Corporativa (B2B),Papelaria e Escritório,Loja Física,Ana Ribeiro,Campo Grande,Perdido,10062.24,2025-12-03,Concorrente
32,2025-11-16,Consumidor Final (B2C),Ferramentas,E-commerce,Fernanda Lima,Campo Grande,Perdido,328.32,2025-11-25,Preço
33,2024-09-02,Consumidor Final (B2C),Utilidades Domésticas,Instagram/Redes Sociais,Fernanda Lima,Campo Grande,Proposta Enviada,213.51,,
34,2025-05-26,Consumidor Final (B2C),Moda e Vestuário,E-commerce,João Pedro,Dourados,Lead,364.55,,
35,2024-02-20,Consumidor Final (B2C),Ferramentas,Indicação,Rafael Torres,Campo Grande,Perdido,351.9,2024-02-21,Fora do orçamento (B2B)
36,2024-09-20,Consumidor Final (B2C),Papelaria e Escritório,Marketplace,Rafael Torres,Campo Grande,Qualificado,150.77,,
37,2024-02-16,Consumidor Final (B2C),Alimentos e Bebidas,Instagram/Redes Sociais,Mariana Alves,Corumbá,Venda Fechada,310.35,2024-03-06,
38,2025-08-26,Consumidor Final (B2C),Utilidades Domésticas,Loja Física,Mariana Alves,Campo Grande,Lead,276.24,,
39,2025-10-02,Consumidor Final (B2C),Eletrônicos,Marketplace,Rafael Torres,Campo Grande,Perdido,336.55,2025-10-09,Fora do orçamento (B2B)
40,2025-12-04,Consumidor Final (B2C),Ferramentas,Instagram/Redes Sociais,Fernanda Lima,Campo Grande,Perdido,372.01,2025-12-18,Fora do orçamento (B2B)
41,2024-08-07,Consumidor Final (B2C),Eletrônicos,E-commerce,Rafael Torres,Ponta Porã,Lead,318.25,,
42,2025-07-04,Consumidor Final (B2C),Papelaria e Escritório,E-commerce,Carlos Souza,Corumbá,Venda Fechada,236.07,2025-07-24,
43,2024-08-10,Consumidor Final (B2C),Moda e Vestuário,Marketplace,Ana Ribeiro,Dourados,Venda Fechada,371.1,2024-08-12,
44,2025-05-11,Conta Corporativa (B2B),Beleza e Higiene,Marketplace,Carlos Souza,Dourados,Perdido,8826.0,2025-05-30,Fora do orçamento (B2B)
45,2025-03-02,Conta Corporativa (B2B),Moda e Vestuário,Instagram/Redes Sociais,Carlos Souza,Campo Grande,Perdido,7300.92,2025-03-21,Fora do orçamento (B2B)
46,2024-02-04,Consumidor Final (B2C),Utilidades Domésticas,E-commerce,Carlos Souza,Ponta Porã,Perdido,205.94,2024-02-13,Sem retorno
47,2024-07-14,Consumidor Final (B2C),Casa e Decoração,Indicação,Mariana Alves,Campo Grande,Perdido,324.57,2024-07-23,Fora do orçamento (B2B)
48,2024-07-10,Consumidor Final (B2C),Moda e Vestuário,E-commerce,Carlos Souza,Campo Grande,Proposta Enviada,364.51,,
49,2025-10-24,Conta Corporativa (B2B),Papelaria e Escritório,E-commerce,Mariana Alves,Ponta Porã,Perdido,9892.28,2025-11-09,Desistência da compra
50,2025-12-29,Consumidor Final (B2C),Moda e Vestuário,E-commerce,João Pedro,Corumbá,Venda Fechada,117.13,2025-12-31,
51,2025-03-30,Conta Corporativa (B2B),Beleza e Higiene,Marketplace,Mariana Alves,Campo Grande,Lead,5330.56,,
52,2025-07-18,Consumidor Final (B2C),Móveis,Loja Física,Mariana Alves,Dourados,Perdido,344.24,2025-07-23,Concorrente
53,2024-06-11,Conta Corporativa (B2B),Casa e Decoração,Vendedor Externo (B2B),Ana Ribeiro,Ponta Porã,Lead,7546.73,,
54,2025-09-25,Consumidor Final (B2C),Papelaria e Escritório,E-commerce,Mariana Alves,Campo Grande,Venda Fechada,338.34,2025-10-02,
55,2024-08-04,Consumidor Final (B2C),Beleza e Higiene,E-commerce,Fernanda Lima,Ponta Porã,Qualificado,397.19,,
56,2024-02-08,Consumidor Final (B2C),Casa e Decoração,Marketplace,Carlos Souza,Ponta Porã,Venda Fechada,305.61,2024-02-17,
57,2024-01-01,Consumidor Final (B2C),Móveis,E-commerce,Ana Ribeiro,Campo Grande,Qualificado,442.29,,
58,2025-11-15,Conta Corporativa (B2B),Papelaria e Escritório,Loja Física,Mariana Alves,Corumbá,Perdido,7870.04,2025-12-04,Sem retorno
59,2025-06-15,Consumidor Final (B2C),Móveis,Loja Física,Ana Ribeiro,Dourados,Proposta Enviada,310.02,,
60,2025-10-29,Consumidor Final (B2C),Utilidades Domésticas,Loja Física,Carlos Souza,Campo Grande,Perdido,407.87,2025-11-03,Desistência da compra
61,2024-02-10,Consumidor Final (B2C),Ferramentas,Loja Física,Ana Ribeiro,Campo Grande,Venda Fechada,239.14,2024-02-24,
62,2025-06-30,Conta Corporativa (B2B),Casa e Decoração,E-commerce,Mariana Alves,Dourados,Perdido,9582.22,2025-07-18,Prazo de entrega incompatível
63,2024-09-07,Consumidor Final (B2C),Brinquedos,E-commerce,Rafael Torres,Três Lagoas,Venda Fechada,346.59,2024-10-02,
64,2025-11-19,Conta Corporativa (B2B),Casa e Decoração,Loja Física,Ana Ribeiro,Campo Grande,Perdido,6085.84,2025-12-06,Desistência da compra
65,2025-12-09,Conta Corporativa (B2B),Ferramentas,Google Ads,Mariana Alves,Ponta Porã,Proposta Enviada,5528.41,,
66,2025-04-01,Consumidor Final (B2C),Moda e Vestuário,E-commerce,João Pedro,Campo Grande,Venda Fechada,262.65,2025-04-03,
67,2024-12-13,Consumidor Final (B2C),Brinquedos,Indicação,Carlos Souza,Dourados,Venda Fechada,404.34,2024-12-25,
68,2025-01-23,Consumidor Final (B2C),Móveis,Indicação,Mariana Alves,Dourados,Venda Fechada,268.76,2025-02-11,
69,2024-04-12,Consumidor Final (B2C),Casa e Decoração,E-commerce,Carlos Souza,Dourados,Qualificado,342.61,,
70,2024-09-05,Consumidor Final (B2C),Alimentos e Bebidas,Google Ads,Rafael Torres,Dourados,Venda Fechada,279.16,2024-09-10,
71,2024-05-17,Conta Corporativa (B2B),Utilidades Domésticas,Instagram/Redes Sociais,João Pedro,Dourados,Venda Fechada,3951.63,2024-05-28,
72,2024-02-12,Consumidor Final (B2C),Moda e Vestuário,Marketplace,Fernanda Lima,Campo Grande,Proposta Enviada,311.98,,
73,2024-12-25,Consumidor Final (B2C),Móveis,Google Ads,Fernanda Lima,Dourados,Venda Fechada,197.09,2025-01-15,
74,2024-01-05,Consumidor Final (B2C),Utilidades Domésticas,Loja Física,Mariana Alves,Dourados,Qualificado,365.37,,
75,2025-06-07,Consumidor Final (B2C),Casa e Decoração,Loja Física,Carlos Souza,Ponta Porã,Perdido,366.31,2025-06-18,Prazo de entrega incompatível
76,2024-02-17,Consumidor Final (B2C),Utilidades Domésticas,Google Ads,Ana Ribeiro,Dourados,Venda Fechada,428.42,2024-03-03,
77,2025-09-30,Conta Corporativa (B2B),Utilidades Domésticas,Instagram/Redes Sociais,Rafael Torres,Dourados,Proposta Enviada,9768.43,,
78,2024-12-28,Consumidor Final (B2C),Casa e Decoração,Marketplace,Fernanda Lima,Campo Grande,Perdido,348.01,2025-01-07,Fora do orçamento (B2B)
79,2024-02-08,Consumidor Final (B2C),Brinquedos,Loja Física,Rafael Torres,Campo Grande,Venda Fechada,471.84,2024-02-11,
80,2024-08-20,Consumidor Final (B2C),Beleza e Higiene,Marketplace,Carlos Souza,Dourados,Proposta Enviada,399.35,,
81,2025-08-17,Consumidor Final (B2C),Papelaria e Escritório,E-commerce,Carlos Souza,Dourados,Perdido,132.88,2025-08-18,Preço
82,2025-03-12,Consumidor Final (B2C),Ferramentas,E-commerce,João Pedro,Três Lagoas,Perdido,318.07,2025-03-21,Prazo de entrega incompatível
83,2024-08-30,Consumidor Final (B2C),Papelaria e Escritório,Vendedor Externo (B2B),Rafael Torres,Campo Grande,Venda Fechada,341.36,2024-09-16,
84,2025-08-28,Consumidor Final (B2C),Moda e Vestuário,Instagram/Redes Sociais,Carlos Souza,Dourados,Proposta Enviada,344.62,,
85,2025-03-10,Conta Corporativa (B2B),Papelaria e Escritório,Loja Física,Rafael Torres,Ponta Porã,Perdido,8974.89,2025-03-24,Preço
86,2024-11-15,Consumidor Final (B2C),Beleza e Higiene,E-commerce,Fernanda Lima,Campo Grande,Perdido,473.81,2024-11-20,Concorrente
87,2025-10-11,Conta Corporativa (B2B),Alimentos e Bebidas,Instagram/Redes Sociais,Ana Ribeiro,Campo Grande,Perdido,8342.32,2025-10-14,Prazo de entrega incompatível
88,2025-08-28,Consumidor Final (B2C),Papelaria e Escritório,Instagram/Redes Sociais,João Pedro,Campo Grande,Venda Fechada,227.86,2025-09-08,
89,2024-05-16,Consumidor Final (B2C),Moda e Vestuário,Loja Física,Rafael Torres,Campo Grande,Venda Fechada,367.87,2024-06-13,
90,2024-10-17,Consumidor Final (B2C),Papelaria e Escritório,E-commerce,Rafael Torres,Dourados,Perdido,382.67,2024-10-27,Fora do orçamento (B2B)
91,2024-03-29,Consumidor Final (B2C),Alimentos e Bebidas,Marketplace,Rafael Torres,Três Lagoas,Proposta Enviada,110.63,,
92,2025-10-26,Consumidor Final (B2C),Brinquedos,Marketplace,Mariana Alves,Três Lagoas,Proposta Enviada,455.97,,
93,2024-07-16,Conta Corporativa (B2B),Brinquedos,Instagram/Redes Sociais,Carlos Souza,Campo Grande,Venda Fechada,9892.12,2024-07-23,
94,2025-02-23,Conta Corporativa (B2B),Móveis,E-commerce,Mariana Alves,Ponta Porã,Perdido,13495.52,2025-02-25,Desistência da compra
95,2025-06-05,Consumidor Final (B2C),Utilidades Domésticas,E-commerce,Rafael Torres,Dourados,Perdido,523.15,2025-06-13,Fora do orçamento (B2B)
96,2024-09-17,Consumidor Final (B2C),Beleza e Higiene,Instagram/Redes Sociais,Carlos Souza,Campo Grande,Proposta Enviada,235.97,,
97,2024-10-18,Consumidor Final (B2C),Papelaria e Escritório,Instagram/Redes Sociais,Rafael Torres,Três Lagoas,Proposta Enviada,239.82,,
98,2024-10-28,Consumidor Final (B2C),Utilidades Domésticas,Indicação,Rafael Torres,Campo Grande,Perdido,110.78,2024-11-08,Desistência da compra
99,2025-04-04,Consumidor Final (B2C),Beleza e Higiene,Instagram/Redes Sociais,Mariana Alves,Ponta Porã,Perdido,489.38,2025-04-23,Prazo de entrega incompatível
100,2024-01-29,Consumidor Final (B2C),Móveis,Google Ads,Ana Ribeiro,Campo Grande,Venda Fechada,441.09,2024-02-12,
101,2025-02-23,Consumidor Final (B2C),Móveis,E-commerce,Rafael Torres,Dourados,Proposta Enviada,267.07,,
102,2024-05-16,Consumidor Final (B2C),Móveis,Loja Física,Ana Ribeiro,Campo Grande,Perdido,307.99,2024-05-27,Concorrente
103,2025-01-20,Consumidor Final (B2C),Casa e Decoração,Google Ads,Fernanda Lima,Campo Grande,Venda Fechada,362.45,2025-02-09,
104,2025-12-10,Consumidor Final (B2C),Eletrônicos,E-commerce,Fernanda Lima,Dourados,Perdido,182.32,2025-12-27,Fora do orçamento (B2B)
105,2024-03-24,Consumidor Final (B2C),Beleza e Higiene,E-commerce,João Pedro,Dourados,Perdido,224.58,2024-04-12,Prazo de entrega incompatível
106,2025-12-23,Consumidor Final (B2C),Eletrônicos,Loja Física,Rafael Torres,Três Lagoas,Proposta Enviada,219.38,,
107,2025-08-12,Consumidor Final (B2C),Casa e Decoração,Marketplace,João Pedro,Dourados,Qualificado,287.91,,
108,2024-09-20,Conta Corporativa (B2B),Brinquedos,Instagram/Redes Sociais,Carlos Souza,Campo Grande,Qualificado,9024.25,,
109,2025-01-14,Consumidor Final (B2C),Brinquedos,Loja Física,Carlos Souza,Três Lagoas,Perdido,173.97,2025-01-22,Sem retorno
110,2024-02-23,Consumidor Final (B2C),Papelaria e Escritório,Loja Física,Ana Ribeiro,Dourados,Venda Fechada,350.69,2024-02-26,
111,2024-04-05,Conta Corporativa (B2B),Alimentos e Bebidas,Instagram/Redes Sociais,João Pedro,Corumbá,Perdido,4774.81,2024-04-12,Concorrente
112,2024-11-25,Consumidor Final (B2C),Brinquedos,Google Ads,Mariana Alves,Três Lagoas,Proposta Enviada,238.95,,
113,2024-03-22,Conta Corporativa (B2B),Papelaria e Escritório,E-commerce,Carlos Souza,Três Lagoas,Perdido,11107.46,2024-03-24,Preço
114,2024-02-22,Consumidor Final (B2C),Beleza e Higiene,Vendedor Externo (B2B),João Pedro,Campo Grande,Venda Fechada,259.7,2024-03-17,
115,2024-02-28,Conta Corporativa (B2B),Eletrônicos,Marketplace,Ana Ribeiro,Campo Grande,Perdido,5533.99,2024-03-10,Prazo de entrega incompatível
116,2025-05-08,Conta Corporativa (B2B),Utilidades Domésticas,Google Ads,Carlos Souza,Campo Grande,Perdido,10135.18,2025-05-18,Concorrente
117,2024-12-21,Consumidor Final (B2C),Casa e Decoração,Marketplace,Ana Ribeiro,Dourados,Venda Fechada,239.11,2025-01-17,
118,2024-06-16,Consumidor Final (B2C),Móveis,Marketplace,Carlos Souza,Três Lagoas,Perdido,238.13,2024-06-30,Desistência da compra
119,2025-07-29,Consumidor Final (B2C),Ferramentas,Instagram/Redes Sociais,Fernanda Lima,Campo Grande,Venda Fechada,394.2,2025-08-25,
120,2024-08-14,Conta Corporativa (B2B),Brinquedos,Indicação,Rafael Torres,Campo Grande,Perdido,8225.85,2024-08-18,Concorrente
121,2024-05-27,Consumidor Final (B2C),Beleza e Higiene,Loja Física,Rafael Torres,Corumbá,Perdido,276.79,2024-06-05,Preço
122,2024-10-22,Consumidor Final (B2C),Móveis,Indicação,Carlos Souza,Dourados,Perdido,526.86,2024-10-27,Concorrente
123,2024-04-17,Consumidor Final (B2C),Ferramentas,Indicação,Fernanda Lima,Campo Grande,Venda Fechada,339.58,2024-04-29,
124,2024-11-13,Conta Corporativa (B2B),Moda e Vestuário,Instagram/Redes Sociais,Mariana Alves,Ponta Porã,Proposta Enviada,12780.92,,
125,2025-12-10,Conta Corporativa (B2B),Casa e Decoração,Marketplace,Fernanda Lima,Corumbá,Venda Fechada,10300.67,2025-12-24,
126,2024-11-30,Consumidor Final (B2C),Móveis,Loja Física,Carlos Souza,Campo Grande,Venda Fechada,332.05,2024-12-20,
127,2025-02-05,Consumidor Final (B2C),Brinquedos,Loja Física,Fernanda Lima,Dourados,Qualificado,327.17,,
128,2024-07-01,Consumidor Final (B2C),Brinquedos,E-commerce,Ana Ribeiro,Dourados,Venda Fechada,411.2,2024-07-14,
129,2025-12-22,Consumidor Final (B2C),Utilidades Domésticas,Google Ads,Carlos Souza,Campo Grande,Venda Fechada,384.21,2025-12-25,
130,2024-02-08,Consumidor Final (B2C),Eletrônicos,E-commerce,Mariana Alves,Dourados,Proposta Enviada,324.23,,
131,2024-08-26,Consumidor Final (B2C),Móveis,E-commerce,João Pedro,Ponta Porã,Perdido,292.97,2024-09-13,Prazo de entrega incompatível
132,2024-11-19,Consumidor Final (B2C),Papelaria e Escritório,Loja Física,Ana Ribeiro,Três Lagoas,Perdido,247.57,2024-11-23,Preço
133,2024-05-19,Conta Corporativa (B2B),Papelaria e Escritório,Instagram/Redes Sociais,Fernanda Lima,Dourados,Venda Fechada,9035.69,2024-06-01,
134,2024-08-13,Consumidor Final (B2C),Beleza e Higiene,Loja Física,João Pedro,Três Lagoas,Perdido,403.53,2024-08-26,Sem retorno
135,2024-12-31,Consumidor Final (B2C),Casa e Decoração,E-commerce,Ana Ribeiro,Campo Grande,Venda Fechada,275.36,2025-01-15,
136,2025-12-27,Conta Corporativa (B2B),Moda e Vestuário,Indicação,Ana Ribeiro,Campo Grande,Perdido,8130.15,2026-01-14,Concorrente
137,2024-03-02,Conta Corporativa (B2B),Moda e Vestuário,Instagram/Redes Sociais,Rafael Torres,Dourados,Proposta Enviada,8207.27,,
138,2024-11-18,Consumidor Final (B2C),Móveis,Loja Física,Carlos Souza,Três Lagoas,Venda Fechada,421.31,2024-11-26,
139,2025-06-20,Consumidor Final (B2C),Casa e Decoração,E-commerce,Rafael Torres,Campo Grande,Venda Fechada,244.32,2025-07-18,
140,2025-11-18,Consumidor Final (B2C),Papelaria e Escritório,Vendedor Externo (B2B),Carlos Souza,Dourados,Qualificado,319.25,,
141,2024-12-14,Conta Corporativa (B2B),Moda e Vestuário,E-commerce,Carlos Souza,Dourados,Venda Fechada,8846.2,2024-12-30,
142,2024-06-16,Consumidor Final (B2C),Móveis,E-commerce,Mariana Alves,Ponta Porã,Venda Fechada,475.82,2024-07-13,
143,2025-02-25,Consumidor Final (B2C),Papelaria e Escritório,Google Ads,Carlos Souza,Dourados,Venda Fechada,340.67,2025-03-15,
144,2024-12-21,Consumidor Final (B2C),Brinquedos,Loja Física,Mariana Alves,Dourados,Venda Fechada,306.28,2025-01-07,
145,2024-12-25,Consumidor Final (B2C),Alimentos e Bebidas,Instagram/Redes Sociais,Rafael Torres,Campo Grande,Perdido,426.77,2025-01-09,Desistência da compra
146,2024-08-09,Consumidor Final (B2C),Ferramentas,Google Ads,João Pedro,Campo Grande,Perdido,298.73,2024-08-21,Preço
147,2025-02-04,Consumidor Final (B2C),Eletrônicos,Loja Física,Fernanda Lima,Três Lagoas,Venda Fechada,267.21,2025-03-03,
148,2024-08-14,Consumidor Final (B2C),Brinquedos,Loja Física,Ana Ribeiro,Campo Grande,Qualificado,491.97,,
149,2025-04-03,Consumidor Final (B2C),Utilidades Domésticas,Loja Física,Carlos Souza,Corumbá,Lead,209.31,,
150,2024-06-05,Consumidor Final (B2C),Casa e Decoração,Instagram/Redes Sociais,João Pedro,Ponta Porã,Perdido,304.0,2024-06-17,Preço
151,2025-03-15,Consumidor Final (B2C),Papelaria e Escritório,Google Ads,Mariana Alves,Dourados,Perdido,400.81,2025-03-18,Concorrente
152,2025-06-07,Consumidor Final (B2C),Alimentos e Bebidas,Loja Física,Ana Ribeiro,Três Lagoas,Venda Fechada,301.41,2025-06-22,
153,2024-01-27,Conta Corporativa (B2B),Beleza e Higiene,Loja Física,Mariana Alves,Campo Grande,Perdido,8932.35,2024-02-11,Prazo de entrega incompatível
154,2024-06-01,Consumidor Final (B2C),Brinquedos,Loja Física,João Pedro,Campo Grande,Qualificado,383.81,,
155,2025-12-26,Consumidor Final (B2C),Papelaria e Escritório,Indicação,Fernanda Lima,Corumbá,Perdido,496.65,2026-01-09,Concorrente
156,2025-05-09,Consumidor Final (B2C),Móveis,Google Ads,Rafael Torres,Três Lagoas,Venda Fechada,285.34,2025-05-28,
157,2024-03-28,Consumidor Final (B2C),Móveis,Marketplace,Rafael Torres,Dourados,Venda Fechada,300.11,2024-04-25,
158,2024-01-02,Consumidor Final (B2C),Móveis,E-commerce,Ana Ribeiro,Três Lagoas,Perdido,322.42,2024-01-08,Concorrente
159,2024-03-30,Consumidor Final (B2C),Casa e Decoração,Instagram/Redes Sociais,Carlos Souza,Campo Grande,Perdido,445.94,2024-04-08,Prazo de entrega incompatível
160,2024-03-13,Consumidor Final (B2C),Móveis,Indicação,Carlos Souza,Dourados,Venda Fechada,403.22,2024-03-28,
161,2024-09-07,Consumidor Final (B2C),Beleza e Higiene,Marketplace,Rafael Torres,Três Lagoas,Lead,356.12,,
162,2024-01-14,Consumidor Final (B2C),Ferramentas,Indicação,João Pedro,Campo Grande,Venda Fechada,516.43,2024-02-09,
163,2024-05-26,Conta Corporativa (B2B),Beleza e Higiene,Instagram/Redes Sociais,Mariana Alves,Ponta Porã,Qualificado,15023.02,,
164,2025-12-23,Consumidor Final (B2C),Alimentos e Bebidas,Vendedor Externo (B2B),Fernanda Lima,Campo Grande,Perdido,311.3,2026-01-07,Fora do orçamento (B2B)
165,2024-12-18,Conta Corporativa (B2B),Eletrônicos,Google Ads,Carlos Souza,Ponta Porã,Perdido,5803.32,2025-01-05,Desistência da compra
166,2025-11-19,Consumidor Final (B2C),Móveis,Marketplace,Mariana Alves,Campo Grande,Proposta Enviada,188.21,,
167,2024-11-30,Conta Corporativa (B2B),Ferramentas,Indicação,Fernanda Lima,Dourados,Venda Fechada,9672.29,2024-12-08,
168,2024-01-21,Consumidor Final (B2C),Moda e Vestuário,Instagram/Redes Sociais,João Pedro,Três Lagoas,Perdido,207.16,2024-02-04,Desistência da compra
169,2024-11-29,Consumidor Final (B2C),Papelaria e Escritório,Google Ads,Mariana Alves,Campo Grande,Perdido,464.91,2024-12-01,Preço
170,2024-05-24,Consumidor Final (B2C),Móveis,E-commerce,Fernanda Lima,Ponta Porã,Perdido,171.88,2024-05-28,Desistência da compra
171,2024-10-27,Consumidor Final (B2C),Utilidades Domésticas,Loja Física,Rafael Torres,Campo Grande,Lead,240.17,,
172,2024-05-12,Consumidor Final (B2C),Eletrônicos,E-commerce,Rafael Torres,Campo Grande,Perdido,358.17,2024-05-27,Fora do orçamento (B2B)
173,2024-07-22,Consumidor Final (B2C),Eletrônicos,Indicação,João Pedro,Três Lagoas,Qualificado,273.52,,
174,2024-11-29,Consumidor Final (B2C),Papelaria e Escritório,Google Ads,Mariana Alves,Dourados,Perdido,323.98,2024-12-04,Fora do orçamento (B2B)
175,2024-06-09,Consumidor Final (B2C),Utilidades Domésticas,E-commerce,Carlos Souza,Corumbá,Perdido,332.54,2024-06-16,Preço
176,2024-08-10,Consumidor Final (B2C),Casa e Decoração,E-commerce,Rafael Torres,Campo Grande,Perdido,360.73,2024-08-26,Fora do orçamento (B2B)
177,2025-01-09,Consumidor Final (B2C),Papelaria e Escritório,Loja Física,Mariana Alves,Campo Grande,Venda Fechada,369.25,2025-02-01,
178,2024-04-28,Conta Corporativa (B2B),Utilidades Domésticas,Loja Física,Carlos Souza,Dourados,Venda Fechada,6482.25,2024-05-06,
179,2025-08-10,Consumidor Final (B2C),Móveis,Indicação,Ana Ribeiro,Dourados,Venda Fechada,365.53,2025-08-19,
180,2025-08-24,Consumidor Final (B2C),Casa e Decoração,Vendedor Externo (B2B),Rafael Torres,Campo Grande,Venda Fechada,409.13,2025-09-18,
181,2025-11-18,Consumidor Final (B2C),Papelaria e Escritório,Marketplace,Ana Ribeiro,Campo Grande,Proposta Enviada,401.13,,
182,2025-01-31,Consumidor Final (B2C),Moda e Vestuário,Google Ads,Ana Ribeiro,Campo Grande,Qualificado,307.5,,
183,2025-08-23,Consumidor Final (B2C),Eletrônicos,E-commerce,Mariana Alves,Campo Grande,Qualificado,415.72,,
184,2024-10-17,Consumidor Final (B2C),Utilidades Domésticas,Indicação,Rafael Torres,Dourados,Venda Fechada,522.15,2024-10-26,
185,2024-01-03,Consumidor Final (B2C),Alimentos e Bebidas,Marketplace,Rafael Torres,Três Lagoas,Venda Fechada,173.24,2024-01-07,
186,2024-02-12,Consumidor Final (B2C),Ferramentas,Instagram/Redes Sociais,João Pedro,Corumbá,Perdido,335.39,2024-02-28,Sem retorno
187,2024-04-26,Conta Corporativa (B2B),Móveis,Indicação,Fernanda Lima,Campo Grande,Venda Fechada,6841.28,2024-05-25,
188,2025-01-07,Consumidor Final (B2C),Moda e Vestuário,Indicação,Carlos Souza,Dourados,Venda Fechada,294.74,2025-01-24,
189,2025-08-11,Consumidor Final (B2C),Móveis,Marketplace,João Pedro,Campo Grande,Qualificado,265.88,,
190,2025-03-20,Consumidor Final (B2C),Beleza e Higiene,Marketplace,Rafael Torres,Três Lagoas,Qualificado,348.78,,
191,2025-01-10,Consumidor Final (B2C),Brinquedos,Indicação,Mariana Alves,Três Lagoas,Perdido,364.97,2025-01-20,Concorrente
