venda_id,lead_id,data_venda,categoria_produto,segmento,cidade,valor_venda,forma_pagamento
64,202,2025-06-10,Brinquedos,Conta Corporativa (B2B),Corumbá,11219.4,PIX
65,206,2024-12-10,Beleza e Higiene,Consumidor Final (B2C),Campo Grande,395.46,PIX
66,217,2024-09-11,Beleza e Higiene,Consumidor Final (B2C),Ponta Porã,422.81,PIX
67,218,2025-08-05,Utilidades Domésticas,Consumidor Final (B2C),Ponta Porã,219.13,PIX
68,219,2025-12-31,Eletrônicos,Consumidor Final (B2C),Campo Grande,501.2,Cartão à vista
69,220,2024-08-08,Eletrônicos,Consumidor Final (B2C),Campo Grande,332.29,Cartão à vista
70,222,2025-09-17,Eletrônicos,Consumidor Final (B2C),Corumbá,384.71,Boleto (B2B)
71,224,2025-12-04,Alimentos e Bebidas,Consumidor Final (B2C),Dourados,381.83,Boleto (B2B)
72,226,2025-03-12,Moda e Vestuário,Conta Corporativa (B2B),Campo Grande,6072.94,Cartão à vista
73,230,2025-12-18,Brinquedos,Consumidor Final (B2C),Dourados,554.15,Cartão à vista
74,232,2025-05-07,Brinquedos,Consumidor Final (B2C),Campo Grande,302.23,Cartão parcelado
75,234,2024-04-01,Papelaria e Escritório,Conta Corporativa (B2B),Dourados,10968.79,Cartão à vista
76,238,2024-04-27,Moda e Vestuário,Consumidor Final (B2C),Campo Grande,261.57,Cartão à vista
77,239,2024-05-31,Eletrônicos,Consumidor Final (B2C),Ponta Porã,240.89,Cartão parcelado
78,241,2025-02-09,Beleza e Higiene,Consumidor Final (B2C),Campo Grande,471.83,Cartão à vista
79,242,2025-07-21,Utilidades Domésticas,Conta Corporativa (B2B),Três Lagoas,12182.66,PIX
80,243,2024-03-14,Papelaria e Escritório,Consumidor Final (B2C),Campo Grande,61.58,Boleto (B2B)
81,244,2025-09-27,Ferramentas,Consumidor Final (B2C),Campo Grande,305.52,Boleto (B2B)
82,256,2024-09-02,Beleza e Higiene,Consumidor Final (B2C),Campo Grande,312.99,PIX
83,258,2024-07-31,Beleza e Higiene,Consumidor Final (B2C),Campo Grande,195.75,PIX
84,263,2025-01-30,Ferramentas,Conta Corporativa (B2B),Corumbá,5578.54,Cartão parcelado
85,271,2025-10-06,Utilidades Domésticas,Conta Corporativa (B2B),Campo Grande,6442.03,Cartão à vista
86,278,2025-11-02,Brinquedos,Consumidor Final (B2C),Campo Grande,477.46,PIX
87,280,2025-08-24,Utilidades Domésticas,Consumidor Final (B2C),Campo Grande,303.41,Cartão parcelado
88,283,2025-01-20,Móveis,Consumidor Final (B2C),Campo Grande,413.44,Cartão à vista
89,285,2025-08-24,Papelaria e Escritório,Conta Corporativa (B2B),Campo Grande,8818.71,Cartão parcelado
90,294,2025-11-10,Casa e Decoração,Consumidor Final (B2C),Campo Grande,390.17,Cartão à vista
91,299,2025-11-25,Papelaria e Escritório,Consumidor Final (B2C),Campo Grande,242.59,Boleto (B2B)
92,302,2025-06-24,Eletrônicos,Consumidor Final (B2C),Campo Grande,262.91,Contrato Recorrente (B2B)
93,304,2025-08-27,Moda e Vestuário,Consumidor Final (B2C),Dourados,497.11,Cartão à vista
94,308,2025-08-13,Papelaria e Escritório,Consumidor Final (B2C),Campo Grande,391.02,Cartão à vista
95,310,2025-07-04,Alimentos e Bebidas,Consumidor Final (B2C),Ponta Porã,287.92,Cartão à vista
96,315,2024-07-21,Utilidades Domésticas,Consumidor Final (B2C),Campo Grande,392.64,Boleto (B2B)
97,316,2024-03-11,Ferramentas,Consumidor Final (B2C),Campo Grande,232.38,Cartão à vista
98,319,2025-10-11,Moda e Vestuário,Consumidor Final (B2C),Campo Grande,305.64,Cartão parcelado
99,321,2025-12-31,Utilidades Domésticas,Consumidor Final (B2C),Ponta Porã,327.98,Cartão à vista
100,323,2025-06-27,Moda e Vestuário,Conta Corporativa (B2B),Dourados,8983.82,Cartão parcelado
101,327,2024-02-16,Utilidades Domésticas,Consumidor Final (B2C),Três Lagoas,335.88,PIX
102,330,2025-11-11,Brinquedos,Consumidor Final (B2C),Campo Grande,332.22,Cartão parcelado
103,334,2025-07-18,Eletrônicos,Consumidor Final (B2C),Dourados,441.39,PIX
104,335,2025-01-29,Moda e Vestuário,Consumidor Final (B2C),Dourados,359.45,PIX
105,341,2024-06-14,Casa e Decoração,Consumidor Final (B2C),Dourados,369.38,Cartão parcelado
106,343,2025-05-19,Brinquedos,Consumidor Final (B2C),Dourados,291.82,PIX
107,350,2024-05-04,Moda e Vestuário,Consumidor Final (B2C),Campo Grande,179.22,Boleto (B2B)
108,353,2025-12-31,Alimentos e Bebidas,Consumidor Final (B2C),Ponta Porã,234.3,PIX
109,356,2024-12-30,Ferramentas,Consumidor Final (B2C),Ponta Porã,222.28,PIX
110,360,2024-08-05,Beleza e Higiene,Consumidor Final (B2C),Ponta Porã,224.66,PIX
111,363,2024-07-21,Eletrônicos,Consumidor Final (B2C),Ponta Porã,293.54,Cartão à vista
112,365,2024-07-11,Eletrônicos,Consumidor Final (B2C),Campo Grande,357.85,Contrato Recorrente (B2B)
113,366,2025-10-28,Brinquedos,Consumidor Final (B2C),Ponta Porã,292.73,Cartão à vista
114,373,2025-01-28,Móveis,Consumidor Final (B2C),Campo Grande,327.88,Cartão parcelado
115,378,2025-03-28,Beleza e Higiene,Consumidor Final (B2C),Dourados,307.26,Cartão parcelado
116,383,2024-12-01,Moda e Vestuário,Consumidor Final (B2C),Campo Grande,407.98,Cartão à vista
117,384,2024-03-22,Móveis,Consumidor Final (B2C),Campo Grande,252.24,Cartão parcelado
118,385,2025-08-01,Casa e Decoração,Consumidor Final (B2C),Dourados,613.44,Cartão à vista
119,392,2025-04-28,Móveis,Consumidor Final (B2C),Campo Grande,396.23,Boleto (B2B)
120,393,2025-11-03,Brinquedos,Consumidor Final (B2C),Ponta Porã,207.89,Boleto (B2B)
121,396,2024-07-22,Eletrônicos,Consumidor Final (B2C),Campo Grande,460.04,Cartão parcelado
122,400,2025-03-16,Móveis,Consumidor Final (B2C),Dourados,219.92,Cartão parcelado
123,403,2025-12-31,Alimentos e Bebidas,Consumidor Final (B2C),Dourados,390.79,Cartão à vista
124,404,2024-12-08,Utilidades Domésticas,Consumidor Final (B2C),Campo Grande,57.77,PIX
125,407,2024-11-16,Brinquedos,Consumidor Final (B2C),Campo Grande,446.3,Cartão parcelado
126,412,2024-06-08,Beleza e Higiene,Consumidor Final (B2C),Ponta Porã,239.44,Cartão à vista
127,416,2025-04-06,Moda e Vestuário,Conta Corporativa (B2B),Campo Grande,10792.07,Contrato Recorrente (B2B)
128,418,2025-06-17,Papelaria e Escritório,Consumidor Final (B2C),Dourados,376.68,PIX
129,420,2025-07-30,Casa e Decoração,Consumidor Final (B2C),Dourados,184.36,Cartão à vista
130,421,2025-12-24,Casa e Decoração,Conta Corporativa (B2B),Campo Grande,8503.04,PIX
131,426,2025-06-11,Alimentos e Bebidas,Consumidor Final (B2C),Três Lagoas,306.59,PIX
132,427,2024-07-04,Utilidades Domésticas,Consumidor Final (B2C),Dourados,303.58,Cartão parcelado
133,431,2024-03-03,Beleza e Higiene,Consumidor Final (B2C),Campo Grande,282.83,Cartão à vista
134,432,2025-01-15,Casa e Decoração,Consumidor Final (B2C),Dourados,236.6,Cartão parcelado
135,434,2024-07-07,Móveis,Consumidor Final (B2C),Dourados,413.23,PIX
136,435,2025-02-15,Brinquedos,Consumidor Final (B2C),Ponta Porã,321.49,Cartão à vista
137,439,2025-12-31,Móveis,Consumidor Final (B2C),Corumbá,431.44,Cartão à vista
138,441,2025-09-09,Ferramentas,Consumidor Final (B2C),Três Lagoas,441.86,PIX
139,442,2025-05-03,Eletrônicos,Consumidor Final (B2C),Corumbá,382.0,Cartão parcelado
140,450,2024-01-10,Ferramentas,Consumidor Final (B2C),Corumbá,283.9,Boleto (B2B)
141,454,2025-07-10,Moda e Vestuário,Conta Corporativa (B2B),Campo Grande,9156.46,PIX
142,461,2024-03-07,Ferramentas,Consumidor Final (B2C),Três Lagoas,399.83,Boleto (B2B)
143,465,2024-07-29,Eletrônicos,Consumidor Final (B2C),Campo Grande,382.74,Cartão parcelado
144,466,2025-01-21,Alimentos e Bebidas,Consumidor Final (B2C),Ponta Porã,298.48,PIX
145,468,2025-01-31,Casa e Decoração,Consumidor Final (B2C),Corumbá,356.74,Cartão à vista
146,476,2025-03-02,Móveis,Consumidor Final (B2C),Campo Grande,462.09,Cartão à vista
147,481,2025-01-01,Casa e Decoração,Consumidor Final (B2C),Campo Grande,364.21,PIX
148,482,2024-05-27,Ferramentas,Consumidor Final (B2C),Campo Grande,287.78,PIX
149,484,2024-01-17,Eletrônicos,Consumidor Final (B2C),Campo Grande,255.59,Cartão parcelado
150,490,2025-05-06,Moda e Vestuário,Consumidor Final (B2C),Dourados,278.08,Cartão parcelado
151,494,2024-07-06,Moda e Vestuário,Conta Corporativa (B2B),Três Lagoas,7871.59,Cartão à vista
152,496,2025-01-06,Papelaria e Escritório,Consumidor Final (B2C),Dourados,315.01,Cartão à vista
153,500,2025-11-01,Casa e Decoração,Consumidor Final (B2C),Campo Grande,302.21,Boleto (B2B)
154,507,2024-07-12,Papelaria e Escritório,Consumidor Final (B2C),Dourados,469.24,Cartão à vista
155,509,2024-04-19,Móveis,Consumidor Final (B2C),Dourados,253.46,Cartão parcelado
156,510,2025-10-03,Móveis,Consumidor Final (B2C),Três Lagoas,255.04,Boleto (B2B)
157,512,2025-01-10,Eletrônicos,Consumidor Final (B2C),Campo Grande,395.13,Cartão à vista
158,524,2024-03-09,Ferramentas,Consumidor Final (B2C),Dourados,174.31,Cartão à vista
159,526,2025-12-18,Ferramentas,Consumidor Final (B2C),Dourados,187.43,PIX
160,529,2025-03-08,Moda e Vestuário,Consumidor Final (B2C),Campo Grande,364.92,Cartão parcelado
161,536,2024-03-24,Casa e Decoração,Consumidor Final (B2C),Dourados,450.52,Cartão parcelado
162,538,2024-05-07,Brinquedos,Consumidor Final (B2C),Campo Grande,339.03,PIX
163,540,2025-12-02,Beleza e Higiene,Consumidor Final (B2C),Corumbá,394.32,Cartão parcelado
164,541,2024-06-28,Brinquedos,Consumidor Final (B2C),Campo Grande,229.9,PIX
165,552,2025-06-09,Utilidades Domésticas,Consumidor Final (B2C),Dourados,284.34,Contrato Recorrente (B2B)
166,553,2024-04-04,Casa e Decoração,Consumidor Final (B2C),Corumbá,378.45,Contrato Recorrente (B2B)
167,558,2025-12-30,Moda e Vestuário,Consumidor Final (B2C),Ponta Porã,388.77,Cartão parcelado
168,559,2024-02-09,Brinquedos,Consumidor Final (B2C),Campo Grande,184.26,Cartão parcelado
169,560,2024-06-02,Alimentos e Bebidas,Consumidor Final (B2C),Campo Grande,215.87,Cartão parcelado
170,561,2024-10-13,Brinquedos,Consumidor Final (B2C),Campo Grande,284.51,Cartão parcelado
171,562,2024-06-14,Moda e Vestuário,Consumidor Final (B2C),Três Lagoas,306.33,Cartão parcelado
172,563,2025-08-31,Ferramentas,Consumidor Final (B2C),Corumbá,405.26,Cartão à vista
173,566,2025-07-31,Móveis,Consumidor Final (B2C),Dourados,408.05,Cartão à vista
174,574,2024-08-12,Casa e Decoração,Consumidor Final (B2C),Dourados,335.13,PIX
175,576,2024-05-11,Brinquedos,Consumidor Final (B2C),Três Lagoas,279.16,Cartão parcelado
176,578,2025-03-12,Moda e Vestuário,Consumidor Final (B2C),Campo Grande,269.36,PIX
177,582,2025-05-17,Ferramentas,Consumidor Final (B2C),Ponta Porã,203.83,Cartão parcelado
178,584,2024-12-14,Casa e Decoração,Consumidor Final (B2C),Campo Grande,175.98,PIX
179,586,2024-06-04,Eletrônicos,Consumidor Final (B2C),Campo Grande,308.86,PIX
180,587,2025-07-18,Brinquedos,Consumidor Final (B2C),Corumbá,345.11,Cartão à vista
181,595,2025-07-21,Móveis,Consumidor Final (B2C),Campo Grande,375.63,Cartão parcelado
182,597,2024-06-14,Eletrônicos,Consumidor Final (B2C),Campo Grande,157.03,PIX
183,598,2024-07-16,Moda e Vestuário,Consumidor Final (B2C),Campo Grande,363.48,Cartão parcelado
184,606,2025-05-21,Ferramentas,Conta Corporativa (B2B),Campo Grande,7228.43,Cartão à vista
185,624,2024-10-10,Beleza e Higiene,Consumidor Final (B2C),Campo Grande,263.04,Cartão parcelado
186,625,2025-03-06,Papelaria e Escritório,Conta Corporativa (B2B),Campo Grande,9376.58,Cartão à vista
187,628,2024-03-25,Beleza e Higiene,Conta Corporativa (B2B),Ponta Porã,8385.9,Cartão parcelado
188,630,2025-09-26,Moda e Vestuário,Consumidor Final (B2C),Campo Grande,399.76,Cartão à vista
189,634,2025-09-05,Eletrônicos,Conta Corporativa (B2B),Ponta Porã,11669.29,Boleto (B2B)
190,635,2025-05-01,Beleza e Higiene,Consumidor Final (B2C),Campo Grande,251.08,Cartão parcelado
191,636,2025-04-29,Utilidades Domésticas,Consumidor Final (B2C),Campo Grande,316.89,Boleto (B2B)
192,638,2025-04-17,Brinquedos,Consumidor Final (B2C),Campo Grande,201.79,Cartão à vista
193,642,2025-01-28,Ferramentas,Consumidor Final (B2C),Dourados,349.36,PIX
194,649,2024-10-07,Moda e Vestuário,Consumidor Final (B2C),Campo Grande,373.03,Cartão à vista
195,654,2025-11-20,Alimentos e Bebidas,Consumidor Final (B2C),Campo Grande,239.0,PIX
196,657,2025-03-22,Ferramentas,Conta Corporativa (B2B),Campo Grande,6835.73,Cartão à vista
197,662,2024-04-23,Moda e Vestuário,Consumidor Final (B2C),Ponta Porã,223.1,Boleto (B2B)
198,673,2024-03-07,Eletrônicos,Consumidor Final (B2C),Ponta Porã,439.73,Cartão parcelado
199,675,2024-08-12,Utilidades Domésticas,Consumidor Final (B2C),Dourados,380.73,Cartão à vista
200,680,2024-03-27,Casa e Decoração,Consumidor Final (B2C),Campo Grande,198.5,Cartão parcelado
201,685,2024-11-22,Utilidades Domésticas,Consumidor Final (B2C),Campo Grande,278.49,PIX
202,686,2024-08-19,Papelaria e Escritório,Consumidor Final (B2C),Campo Grande,388.09,Cartão à vista
203,688,2024-10-10,Eletrônicos,Consumidor Final (B2C),Três Lagoas,380.8,PIX
204,689,2025-02-14,Casa e Decoração,Consumidor Final (B2C),Campo Grande,170.12,Cartão parcelado
205,690,2025-07-19,Casa e Decoração,Consumidor Final (B2C),Dourados,293.76,Cartão parcelado
206,696,2025-07-04,Brinquedos,Consumidor Final (B2C),Ponta Porã,348.83,PIX
207,697,2024-06-25,Utilidades Domésticas,Consumidor Final (B2C),Dourados,279.68,Cartão à vista
208,698,2025-10-04,Beleza e Higiene,Consumidor Final (B2C),Campo Grande,229.58,Cartão parcelado
209,699,2024-10-21,Casa e Decoração,Conta Corporativa (B2B),Campo Grande,10242.09,Cartão parcelado
210,700,2024-11-20,Beleza e Higiene,Consumidor Final (B2C),Corumbá,268.64,Cartão à vista
211,704,2025-09-20,Utilidades Domésticas,Consumidor Final (B2C),Campo Grande,398.91,Cartão à vista
212,705,2025-04-15,Moda e Vestuário,Consumidor Final (B2C),Dourados,217.84,Cartão parcelado
213,708,2024-01-27,Moda e Vestuário,Consumidor Final (B2C),Ponta Porã,273.89,Cartão parcelado
214,711,2025-12-31,Utilidades Domésticas,Conta Corporativa (B2B),Dourados,8003.56,Cartão à vista
215,713,2024-06-23,Utilidades Domésticas,Consumidor Final (B2C),Dourados,214.71,Cartão à vista
216,715,2024-08-30,Casa e Decoração,Consumidor Final (B2C),Campo Grande,208.86,Cartão à vista
217,718,2025-05-29,Utilidades Domésticas,Consumidor Final (B2C),Campo Grande,421.72,Cartão parcelado
218,721,2025-06-28,Alimentos e Bebidas,Conta Corporativa (B2B),Três Lagoas,9745.87,Cartão à vista
219,722,2025-02-03,Papelaria e Escritório,Conta Corporativa (B2B),Campo Grande,7278.75,PIX
220,728,2025-05-29,Casa e Decoração,Consumidor Final (B2C),Três Lagoas,336.27,Cartão à vista
221,729,2024-12-06,Móveis,Consumidor Final (B2C),Campo Grande,230.5,PIX
222,735,2025-12-19,Eletrônicos,Consumidor Final (B2C),Dourados,379.6,Cartão à vista
223,736,2024-09-30,Brinquedos,Consumidor Final (B2C),Corumbá,236.27,Cartão parcelado
224,737,2025-05-06,Móveis,Consumidor Final (B2C),Campo Grande,202.38,Cartão parcelado
225,738,2025-10-01,Alimentos e Bebidas,Consumidor Final (B2C),Campo Grande,293.11,Cartão parcelado
226,740,2024-07-17,Moda e Vestuário,Consumidor Final (B2C),Campo Grande,315.1,Cartão à vista
227,741,2025-05-12,Brinquedos,Consumidor Final (B2C),Campo Grande,247.43,Boleto (B2B)
228,742,2024-04-04,Beleza e Higiene,Consumidor Final (B2C),Dourados,326.81,Cartão à vista
229,744,2025-02-23,Moda e Vestuário,Consumidor Final (B2C),Dourados,286.48,Cartão à vista
230,756,2024-03-15,Moda e Vestuário,Consumidor Final (B2C),Ponta Porã,332.48,Cartão à vista
231,757,2025-02-24,Ferramentas,Consumidor Final (B2C),Dourados,384.94,Contrato Recorrente (B2B)
232,758,2024-08-14,Casa e Decoração,Consumidor Final (B2C),Dourados,294.15,Cartão à vista
233,759,2025-03-27,Ferramentas,Consumidor Final (B2C),Dourados,237.46,Cartão parcelado
234,760,2025-12-27,Alimentos e Bebidas,Consumidor Final (B2C),Campo Grande,380.28,Cartão à vista
235,761,2024-08-08,Ferramentas,Consumidor Final (B2C),Campo Grande,237.24,PIX
236,763,2025-03-25,Alimentos e Bebidas,Consumidor Final (B2C),Três Lagoas,478.67,Cartão parcelado
237,765,2024-05-10,Beleza e Higiene,Consumidor Final (B2C),Campo Grande,422.48,Cartão parcelado
238,766,2025-11-27,Ferramentas,Consumidor Final (B2C),Campo Grande,216.41,Boleto (B2B)
239,772,2024-10-01,Brinquedos,Consumidor Final (B2C),Corumbá,208.44,Cartão parcelado
240,773,2025-11-05,Móveis,Consumidor Final (B2C),Dourados,386.8,Contrato Recorrente (B2B)
241,777,2025-03-25,Eletrônicos,Conta Corporativa (B2B),Três Lagoas,10315.04,PIX
242,784,2024-08-17,Utilidades Domésticas,Consumidor Final (B2C),Corumbá,326.13,Cartão parcelado
243,789,2024-09-05,Brinquedos,Conta Corporativa (B2B),Campo Grande,9363.8,Cartão à vista
244,796,2025-06-09,Beleza e Higiene,Consumidor Final (B2C),Campo Grande,287.84,PIX
245,800,2024-11-25,Moda e Vestuário,Consumidor Final (B2C),Campo Grande,182.98,Cartão parcelado
246,805,2025-07-27,Beleza e Higiene,Consumidor Final (B2C),Corumbá,313.12,Cartão parcelado
247,806,2024-10-03,Casa e Decoração,Consumidor Final (B2C),Dourados,252.02,Boleto (B2B)
248,807,2024-07-29,Beleza e Higiene,Consumidor Final (B2C),Ponta Porã,233.08,Cartão à vista
249,818,2025-02-08,Alimentos e Bebidas,Conta Corporativa (B2B),Ponta Porã,5863.54,PIX
250,819,2025-10-07,Utilidades Domésticas,Consumidor Final (B2C),Ponta Porã,267.74,Cartão parcelado
251,824,2025-12-07,Eletrônicos,Consumidor Final (B2C),Campo Grande,418.32,Cartão à vista
252,827,2024-02-01,Casa e Decoração,Consumidor Final (B2C),Dourados,432.89,Cartão parcelado
253,832,2025-06-03,Ferramentas,Consumidor Final (B2C),Ponta Porã,420.66,Cartão parcelado
254,837,2024-11-09,Casa e Decoração,Conta Corporativa (B2B),Campo Grande,4684.4,PIX
255,843,2025-08-17,Ferramentas,Consumidor Final (B2C),Três Lagoas,327.74,Cartão parcelado
256,847,2025-08-05,Alimentos e Bebidas,Consumidor Final (B2C),Campo Grande,366.06,PIX
257,849,2024-05-18,Móveis,Consumidor Final (B2C),Campo Grande,249.19,Cartão parcelado
258,851,2025-09-21,Moda e Vestuário,Consumidor Final (B2C),Campo Grande,346.93,Cartão parcelado
259,857,2025-02-18,Moda e Vestuário,Consumidor Final (B2C),Dourados,515.63,Cartão parcelado
260,865,2024-11-30,Ferramentas,Consumidor Final (B2C),Campo Grande,316.56,Cartão à vista
261,867,2024-09-10,Móveis,Conta Corporativa (B2B),Campo Grande,9273.09,Cartão parcelado
262,873,2025-12-31,Móveis,Consumidor Final (B2C),Campo Grande,222.42,Cartão parcelado
263,875,2024-12-20,Brinquedos,Consumidor Final (B2C),Campo Grande,205.87,Contrato Recorrente (B2B)
264,876,2024-05-08,Ferramentas,Consumidor Final (B2C),Dourados,304.86,Cartão parcelado
265,882,2025-11-19,Beleza e Higiene,Consumidor Final (B2C),Campo Grande,431.56,Cartão parcelado
266,883,2024-03-13,Utilidades Domésticas,Consumidor Final (B2C),Campo Grande,326.72,Cartão à vista
267,884,2024-06-12,Alimentos e Bebidas,Conta Corporativa (B2B),Campo Grande,10777.0,Cartão parcelado
268,885,2025-09-01,Eletrônicos,Consumidor Final (B2C),Três Lagoas,344.28,PIX
269,886,2024-05-27,Beleza e Higiene,Consumidor Final (B2C),Campo Grande,312.14,Cartão à vista
270,888,2024-09-08,Ferramentas,Consumidor Final (B2C),Campo Grande,193.57,Cartão à vista
271,889,2024-08-03,Móveis,Consumidor Final (B2C),Três Lagoas,213.62,PIX
272,900,2024-11-09,Eletrônicos,Consumidor Final (B2C),Ponta Porã,212.31,Cartão à vista
273,901,2025-10-01,Utilidades Domésticas,Consumidor Final (B2C),Campo Grande,336.04,Cartão parcelado
274,907,2024-05-26,Eletrônicos,Conta Corporativa (B2B),Três Lagoas,6128.68,PIX
